Source,Target,year_of_publication,Weight
Bartolus de Saxoferrato,"Andreas Torresanus, de Asula",1488,5
Bartolus de Saxoferrato,Leonardus Pachel and Uldericus Scinzenzeler,1484,5
"Ovidius Naso, Publius",45.43,1482,5
"Gerson, Johannes",6.96,1480,5
"Bonaventura, S",45.46,1480,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",12.49,1488,5
"Cicero, Marcus Tullius",45.46,1480,5
"Cicero, Marcus Tullius",9.19,1480,5
"Bonaventura, S",6542283,1480,5
"Ovidius Naso, Publius",IT,1489,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",41.89,1481,5
"Tartagnus, Alexander",IT,1480,5
Jacobus de Voragine,DE,1488,5
Justinianus,Milan,1482,5
Thomas Aquinas,IT,1482,5
"Ovidius Naso, Publius",12.34,1482,5
Justinianus,12.34,1484,5
"Johannes XXI, Pont. Max. (formerly Petrus Hispanus)",DE,1487,5
Maximilian I,48.58,1486,5
Hieronymus,IT,1480,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",39.88,1484,5
Justinianus,Venice,1489,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Cologne,1487,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",6.96,1487,5
Justinianus,3164603,1489,5
"Sixtus IV, Pont. Max. (formerly Franciscus, Cardinalis de Rovere)",after 15 Dec. 1481],1481,5
Paulus de Castro,9.19,1488,5
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",41.89,1488,5
"Garlandia, Johannes de",DE,1488,4
Guarinus Veronensis,IT,1485,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Bartholomaeus Guldinbeck,1487,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",IT,1489,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",Johann Petri,1485,4
Hugo de Sancto Caro,4.84,1487,4
Hugo de Sancto Caro,FR,1487,4
Hugo de Sancto Caro,2996944,1487,4
"Gerson, Johannes",FR,1486,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Leipzig,1488,4
"Garlandia, Johannes de",2886242,1487,4
"Cicero, Marcus Tullius",IT,1481,4
"Ernst, Herzog von Sachsen, Erzbischof von Magdeburg",51.34,1486,4
"Lucas de Tollentis, Episcopus Sibinicensis",6.96,1480,4
"Manfredis, Hieronymus de",IT,1481,4
"Ovidius Naso, Publius",IT,1485,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",3169071,1486,4
"Innocentius VIII, Pont. Max. (Giovanni Battista Cibo)",[Rome,1486,4
"Lucas de Tollentis, Episcopus Sibinicensis",[Cologne,1480,4
"Rudolphus de Scherenberg, Episcopus Herbipolensis (Würzburg)",DE,1482,4
"Fliscus, Hector",[Rome,1485,4
"Maximilian I, Imperator",[Mainz,1489,4
Bartolus de Saxoferrato,12.34,1480,4
Bartolus de Saxoferrato,45.43,1480,4
"Donatus, Aelius",[Cologne,1481,4
"Donatus, Aelius",2886242,1481,4
"Folz, Hans",11.0775,1480,4
"Ernst, Herzog von Sachsen, Erzbischof von Magdeburg",[Leipzig,1486,4
"Johannes XXI, Pont. Max. (formerly Petrus Hispanus)",6.96,1487,4
"Johannes de Cardona, commissary",Johann Otmar,1481,4
"Johannes de Cardona, commissary",9.21,1481,4
"Folz, Hans",2861650,1480,4
"Johannes de Cardona, commissary",BE,1481,4
"Cicero, Marcus Tullius",45.43,1488,4
"Peraudi, Raimundus, commissary",[Cologne,1487,4
"Peraudi, Raimundus, commissary",1486],1486,4
"Cicero, Marcus Tullius",Venice,1488,4
"Peraudi, Raimundus, commissary",[Leipzig,1489,4
"Cicero, Marcus Tullius",IT,1487,4
"Cicero, Marcus Tullius",45.43,1482,4
"Cicero, Marcus Tullius",Venice,1482,4
Alexander de Villa Dei,2886242,1489,4
"Peraudi, Raimundus, commissary",2879139,1489,4
Alexander de Villa Dei,Cologne,1489,4
